mapping_id,category,bigquery_syntax,databricks_sql_syntax,searchable_content,example_bq,example_dbsql
1,Data Types,STRING,STRING,Data Types|STRING,CREATE TABLE t (col STRING),CREATE TABLE t (col STRING)
2,Data Types,BYTES,BINARY,Data Types|BYTES,CREATE TABLE t (col BYTES),CREATE TABLE t (col BINARY)
3,Data Types,INT64,BIGINT,Data Types|INT,CREATE TABLE t (col INT64),CREATE TABLE t (col BIGINT)
4,Data Types,INTEGER,INT,Data Types|INTEGER,CREATE TABLE t (col INTEGER),CREATE TABLE t (col INT)
5,Data Types,FLOAT64,DOUBLE,Data Types|FLOAT,Select cast (col as FLOAT64),Select cast (col as DOUBLE)
6,Data Types,NUMERIC,"DECIMAL(38,9)",Data Types|NUMERIC,CREATE TABLE t (col NUMERIC),"CREATE TABLE t (col DECIMAL(38,9))"
7,Data Types,BIGNUMERIC,"DECIMAL(38,9)",Data Types|BIGNUMERIC,CREATE TABLE t (col BIGNUMERIC),"CREATE TABLE t (col DECIMAL(38,9))"
8,Data Types,BOOL,BOOLEAN,Data Types|BOOL,CREATE TABLE t (col BOOL),CREATE TABLE t (col BOOLEAN)
9,Data Types,DATE,DATE,Data Types|DATE,CREATE TABLE t (col DATE),CREATE TABLE t (col DATE)
10,Data Types,DATETIME,TIMESTAMP,Data Types|DATETIME,CREATE TABLE t (col DATETIME),CREATE TABLE t (col TIMESTAMP)
11,Data Types,TIME,STRING,Data Types|TIME,CREATE TABLE t (col TIME),CREATE TABLE t (col STRING)
12,Data Types,TIMESTAMP,TIMESTAMP,Data Types|TIMESTAMP,CREATE TABLE t (col TIMESTAMP),CREATE TABLE t (col TIMESTAMP)
13,Data Types,-,-,Data Types|,-,-
14,Data Types,-,-,Data Types|,-,-
15,Data Types,GEOGRAPHY,STRING,Data Types|GEOGRAPHY,CREATE TABLE t (col GEOGRAPHY),CREATE TABLE t (col STRING)
16,Data Types,JSON,STRING,Data Types|JSON,CREATE TABLE t (col JSON),CREATE TABLE t (col STRING)
